,mean_fit_time,mean_score_time,mean_test_accuracy,mean_test_f1,mean_test_neg_log_loss,mean_test_precision,mean_test_recall,mean_test_roc_auc,mean_train_accuracy,mean_train_f1,mean_train_neg_log_loss,mean_train_precision,mean_train_recall,mean_train_roc_auc,notes,param_estimator__C,param_estimator__bootstrap,param_estimator__criterion,param_estimator__gamma,param_estimator__kernel,param_estimator__max_depth,param_estimator__max_samples,param_estimator__multi_class,param_estimator__n_estimators,param_estimator__penalty,param_estimator__probability,param_estimator__solver,param_estimator__splitter,param_estimator__tol,param_selector__transform__select__percentile,params,rank_test_accuracy,rank_test_f1,rank_test_neg_log_loss,rank_test_precision,rank_test_recall,rank_test_roc_auc,split0_test_accuracy,split0_test_f1,split0_test_neg_log_loss,split0_test_precision,split0_test_recall,split0_test_roc_auc,split0_train_accuracy,split0_train_f1,split0_train_neg_log_loss,split0_train_precision,split0_train_recall,split0_train_roc_auc,split1_test_accuracy,split1_test_f1,split1_test_neg_log_loss,split1_test_precision,split1_test_recall,split1_test_roc_auc,split1_train_accuracy,split1_train_f1,split1_train_neg_log_loss,split1_train_precision,split1_train_recall,split1_train_roc_auc,split2_test_accuracy,split2_test_f1,split2_test_neg_log_loss,split2_test_precision,split2_test_recall,split2_test_roc_auc,split2_train_accuracy,split2_train_f1,split2_train_neg_log_loss,split2_train_precision,split2_train_recall,split2_train_roc_auc,split3_test_accuracy,split3_test_f1,split3_test_neg_log_loss,split3_test_precision,split3_test_recall,split3_test_roc_auc,split3_train_accuracy,split3_train_f1,split3_train_neg_log_loss,split3_train_precision,split3_train_recall,split3_train_roc_auc,split4_test_accuracy,split4_test_f1,split4_test_neg_log_loss,split4_test_precision,split4_test_recall,split4_test_roc_auc,split4_train_accuracy,split4_train_f1,split4_train_neg_log_loss,split4_train_precision,split4_train_recall,split4_train_roc_auc,split5_test_accuracy,split5_test_f1,split5_test_neg_log_loss,split5_test_precision,split5_test_recall,split5_test_roc_auc,split5_train_accuracy,split5_train_f1,split5_train_neg_log_loss,split5_train_precision,split5_train_recall,split5_train_roc_auc,split6_test_accuracy,split6_test_f1,split6_test_neg_log_loss,split6_test_precision,split6_test_recall,split6_test_roc_auc,split6_train_accuracy,split6_train_f1,split6_train_neg_log_loss,split6_train_precision,split6_train_recall,split6_train_roc_auc,split7_test_accuracy,split7_test_f1,split7_test_neg_log_loss,split7_test_precision,split7_test_recall,split7_test_roc_auc,split7_train_accuracy,split7_train_f1,split7_train_neg_log_loss,split7_train_precision,split7_train_recall,split7_train_roc_auc,split8_test_accuracy,split8_test_f1,split8_test_neg_log_loss,split8_test_precision,split8_test_recall,split8_test_roc_auc,split8_train_accuracy,split8_train_f1,split8_train_neg_log_loss,split8_train_precision,split8_train_recall,split8_train_roc_auc,split9_test_accuracy,split9_test_f1,split9_test_neg_log_loss,split9_test_precision,split9_test_recall,split9_test_roc_auc,split9_train_accuracy,split9_train_f1,split9_train_neg_log_loss,split9_train_precision,split9_train_recall,split9_train_roc_auc,std_fit_time,std_score_time,std_test_accuracy,std_test_f1,std_test_neg_log_loss,std_test_precision,std_test_recall,std_test_roc_auc,std_train_accuracy,std_train_f1,std_train_neg_log_loss,std_train_precision,std_train_recall,std_train_roc_auc
0,0.5120113134384155,0.19595398902893066,0.5793103448275863,0.7043777644977046,-6.33512287866255,0.7178944618599791,0.7016300940438871,0.43865203761755484,0.8957991245395824,0.9321818079039144,-0.2689368640565792,0.9069266963058636,0.9636275773195877,0.8870566035692626,DecisionTreeClassifier;EMTAB4032,,,gini,,,4,,,,,,,random,,1,"{'estimator__criterion': 'gini', 'estimator__max_depth': 4, 'estimator__splitter': 'random', 'selector__transform__select__percentile': 1}",4,4,2,4,4,4,0.4666666666666667,0.6,-1.2241947162194273,0.6666666666666666,0.5454545454545454,0.32954545454545453,0.9307692307692308,0.9528795811518324,-0.22025468675210344,0.9578947368421052,0.9479166666666666,0.9376531862745098,0.6,0.7272727272727273,-3.166830515249395,0.7272727272727273,0.7272727272727273,0.4431818181818182,0.9,0.9353233830845771,-0.27334200456099067,0.8952380952380953,0.9791666666666666,0.9067095588235294,0.4666666666666667,0.6363636363636364,-14.352461741480605,0.6363636363636364,0.6363636363636364,0.2272727272727273,0.9461538461538461,0.9633507853403142,-0.1576944310758363,0.968421052631579,0.9583333333333334,0.9673713235294117,0.3333333333333333,0.5,-12.4053860931532,0.5555555555555556,0.45454545454545453,0.10227272727272727,0.9384615384615385,0.9595959595959597,-0.17880521759222576,0.9313725490196079,0.9895833333333334,0.9555759803921569,0.5333333333333333,0.6666666666666666,-9.401232665011749,0.7,0.6363636363636364,0.4318181818181818,0.8769230769230769,0.9101123595505618,-0.19915767350211394,0.9878048780487805,0.84375,0.9554227941176471,0.7333333333333333,0.846153846153846,-0.6435423171269173,0.7333333333333333,1.0,0.5795454545454546,0.8461538461538461,0.9056603773584906,-0.3594996558738315,0.8275862068965517,1.0,0.8318014705882353,0.8,0.8695652173913043,-2.6549113025121804,0.8333333333333334,0.9090909090909091,0.75,0.8538461538461538,0.909952606635071,-0.3506845758611574,0.8347826086956521,1.0,0.8370098039215685,0.6428571428571429,0.761904761904762,-5.4979939443399415,0.7272727272727273,0.8,0.5,0.8702290076335878,0.916256157635468,-0.34631107603088057,0.8773584905660378,0.9587628865979382,0.8018496058217102,0.6923076923076923,0.7777777777777777,-5.713336426308825,0.875,0.7,0.5666666666666668,0.9393939393939394,0.9595959595959594,-0.2118662656543049,0.9405940594059405,0.979381443298969,0.9240058910162002,0.5384615384615384,0.6666666666666665,-8.432241413999511,0.75,0.6,0.4833333333333334,0.8560606060606061,0.9090909090909091,-0.3917530536623474,0.8482142857142857,0.979381443298969,0.7531664212076583,0.18936875559289476,0.05005043141692564,0.13536613577258755,0.10936258746103593,4.519214274155559,0.0862822675907514,0.1590928579030383,0.17793000507317805,0.03782953136921273,0.02320397391562663,0.08183460981222543,0.055325762833385264,0.04327424165785051,0.07132700975141676
1,0.6181061029434204,0.2129518985748291,0.6689655172413793,0.7810116374404973,-6.4314041705076495,0.7689251361665155,0.8046394984326017,0.5361494252873563,0.9493827292300574,0.9664201683681579,-0.15896574289478532,0.9484114172262604,0.9854703608247423,0.9454924746960639,DecisionTreeClassifier;EMTAB4032,,,gini,,,4,,,,,,,random,,5,"{'estimator__criterion': 'gini', 'estimator__max_depth': 4, 'estimator__splitter': 'random', 'selector__transform__select__percentile': 5}",3,3,3,2,3,2,0.6,0.7500000000000001,-7.312339027076113,0.6923076923076923,0.8181818181818182,0.4659090909090909,0.9230769230769231,0.9484536082474228,-0.18924492494249537,0.9387755102040817,0.9583333333333334,0.967830882352941,0.6666666666666666,0.7826086956521738,-7.46786522114635,0.75,0.8181818181818182,0.44318181818181823,0.9769230769230769,0.9844559585492227,-0.07958849322011317,0.979381443298969,0.9895833333333334,0.9854473039215685,0.7333333333333333,0.8333333333333333,-5.0996275882569915,0.7692307692307693,0.9090909090909091,0.5340909090909091,0.9615384615384616,0.9746192893401014,-0.1072871561975586,0.9504950495049505,1.0,0.9739583333333333,0.6,0.7272727272727273,-7.447461319999225,0.7272727272727273,0.7272727272727273,0.6363636363636364,0.9384615384615385,0.9600000000000001,-0.21436377546531254,0.9230769230769231,1.0,0.8897058823529411,0.7333333333333333,0.8181818181818182,-2.831753789088205,0.8181818181818182,0.8181818181818182,0.6590909090909092,0.9230769230769231,0.9484536082474228,-0.2223864728110331,0.9387755102040817,0.9583333333333334,0.9099264705882353,0.8,0.88,-2.9022467480368457,0.7857142857142857,1.0,0.38636363636363635,0.9538461538461539,0.9696969696969697,-0.15294076555328415,0.9411764705882353,1.0,0.9555759803921569,0.6,0.7272727272727273,-7.406489195535408,0.7272727272727273,0.7272727272727273,0.625,0.9538461538461539,0.9696969696969697,-0.16159907283921662,0.9411764705882353,1.0,0.9381127450980392,0.5714285714285714,0.7272727272727272,-8.000295381264129,0.6666666666666666,0.8,0.3125,0.9236641221374046,0.9494949494949495,-0.24163924527205272,0.9306930693069307,0.9690721649484536,0.8987265009096422,0.7692307692307693,0.8235294117647058,-7.9876721131477675,1.0,0.7,0.85,0.9621212121212122,0.9748743718592965,-0.14284850937361365,0.9509803921568627,1.0,0.9441826215022092,0.6153846153846154,0.7368421052631577,-8.437922198300253,0.7777777777777778,0.7,0.4666666666666667,0.9772727272727273,0.9844559585492227,-0.07775901327317336,0.9895833333333334,0.979381443298969,0.9914580265095729,0.12108409708750548,0.0376713636012521,0.07865937103124016,0.0524675117379572,2.0061592076190684,0.0841858810361497,0.09131019501846979,0.14573444729051627,0.020126867287590236,0.013356757133059751,0.055418250492333905,0.01977720179227202,0.016885736236374505,0.03426444796821062
2,0.6005987644195556,0.22623636722564697,0.7034482758620689,0.8088608725940061,-4.795721828175712,0.7688492541940818,0.8604388714733543,0.5306321839080459,0.9294933183864481,0.953587414360903,-0.20840306124343932,0.9308194491898629,0.9782216494845362,0.9212651877761415,DecisionTreeClassifier;EMTAB4032,,,gini,,,4,,,,,,,random,,10,"{'estimator__criterion': 'gini', 'estimator__max_depth': 4, 'estimator__splitter': 'random', 'selector__transform__select__percentile': 10}",1,1,1,3,1,3,0.7333333333333333,0.8333333333333333,-7.142828568202571,0.7692307692307693,0.9090909090909091,0.46590909090909094,0.9461538461538461,0.9637305699481865,-0.14631472899873968,0.9587628865979382,0.96875,0.9742647058823529,0.5333333333333333,0.6956521739130435,-7.860209929357954,0.6666666666666666,0.7272727272727273,0.4431818181818182,0.9230769230769231,0.9489795918367346,-0.21635934382272112,0.93,0.96875,0.944546568627451,0.6,0.7272727272727273,-5.236041625203733,0.7272727272727273,0.7272727272727273,0.5568181818181819,0.9153846153846154,0.945273631840796,-0.24464333016038162,0.9047619047619048,0.9895833333333334,0.9103860294117647,0.8,0.88,-0.5037185821080411,0.7857142857142857,1.0,0.625,0.8615384615384616,0.911764705882353,-0.37430683913571516,0.8611111111111112,0.96875,0.7725183823529411,0.6,0.7500000000000001,-7.626103674935833,0.6923076923076923,0.8181818181818182,0.2727272727272727,0.9384615384615385,0.9600000000000001,-0.17553612472548957,0.9230769230769231,1.0,0.9509803921568627,0.8,0.88,-2.756140846057439,0.7857142857142857,1.0,0.5340909090909091,0.9692307692307692,0.9793814432989691,-0.1267949250868507,0.9693877551020408,0.9895833333333334,0.9640012254901962,0.8,0.8695652173913043,-2.6907655292316877,0.8333333333333334,0.9090909090909091,0.7272727272727273,0.9384615384615385,0.9595959595959597,-0.21177268367043098,0.9313725490196079,0.9895833333333334,0.9088541666666667,0.7857142857142857,0.8571428571428572,-5.194549173856175,0.8181818181818182,0.9,0.575,0.9465648854961832,0.964824120603015,-0.18991498836783535,0.9411764705882353,0.9896907216494846,0.9144936325045483,0.6923076923076923,0.7777777777777777,-0.6799990396499276,0.875,0.7,0.8166666666666667,0.946969696969697,0.964824120603015,-0.18493189679571628,0.9411764705882353,0.9896907216494846,0.9293078055964654,0.6923076923076923,0.8181818181818182,-8.198373677660317,0.75,0.9,0.3,0.9090909090909091,0.9374999999999999,-0.2134557516705128,0.9473684210526315,0.9278350515463918,0.9432989690721649,0.07170743779085527,0.0595586483159802,0.0941753609990208,0.06467260834370714,2.785064996190737,0.060258632526036346,0.10474918698404798,0.1593516998126688,0.02808683827550882,0.01787809104014236,0.06436256356110806,0.028906619165243615,0.019830746448679153,0.053902097121007235
3,0.6922727346420288,0.22430753707885742,0.7034482758620689,0.8066650088034133,-6.600803526441479,0.7814211650418548,0.8418808777429467,0.554649947753396,0.9418767237851208,0.9624966420321129,-0.16361071672177493,0.9355745147117908,0.9927620274914088,0.9357713865185249,DecisionTreeClassifier;EMTAB4032,,,gini,,,4,,,,,,,random,,20,"{'estimator__criterion': 'gini', 'estimator__max_depth': 4, 'estimator__splitter': 'random', 'selector__transform__select__percentile': 20}",1,2,4,1,2,1,0.6666666666666666,0.7826086956521738,-9.351021251999288,0.75,0.8181818181818182,0.5454545454545454,0.9384615384615385,0.9600000000000001,-0.12853878932651616,0.9230769230769231,1.0,0.9767156862745098,0.6666666666666666,0.7826086956521738,-5.3427623154122665,0.75,0.8181818181818182,0.5340909090909092,0.9615384615384616,0.9740932642487047,-0.12503113043240435,0.9690721649484536,0.9791666666666666,0.975030637254902,0.6666666666666666,0.8,-3.0821762498447263,0.7142857142857143,0.9090909090909091,0.45454545454545453,0.8923076923076924,0.9320388349514563,-0.26902945196506306,0.8727272727272727,1.0,0.8967524509803921,0.6666666666666666,0.7826086956521738,-11.538341512918048,0.75,0.8181818181818182,0.3977272727272727,0.9923076923076923,0.9948186528497409,-0.02577690054493645,0.9896907216494846,1.0,0.9984681372549019,0.6666666666666666,0.7826086956521738,-5.350628151600701,0.75,0.8181818181818182,0.5454545454545454,0.9769230769230769,0.9846153846153847,-0.09409259523490741,0.9696969696969697,1.0,0.9754901960784313,0.7333333333333333,0.8333333333333333,-9.216014987232022,0.7692307692307693,0.9090909090909091,0.5113636363636364,0.9923076923076923,0.9948186528497409,-0.03197634586138737,0.9896907216494846,1.0,0.9964767156862745,0.6,0.7272727272727273,-9.655528123746024,0.7272727272727273,0.7272727272727273,0.40909090909090906,0.9076923076923077,0.9411764705882353,-0.22646266174516097,0.8888888888888888,1.0,0.917126225490196,0.7857142857142857,0.8695652173913044,-0.8693051897581049,0.7692307692307693,1.0,0.5875,0.9541984732824428,0.96875,-0.14309235678524945,0.9789473684210527,0.9587628865979382,0.96922377198302,0.6923076923076923,0.7777777777777777,-8.203825121408318,0.875,0.7,0.6833333333333335,0.8712121212121212,0.919431279620853,-0.36375023752415686,0.8508771929824561,1.0,0.7571428571428571,0.9230769230769231,0.9473684210526316,-2.7114940929074485,1.0,0.9,0.95,0.9318181818181818,0.955223880597015,-0.22835669779796736,0.9230769230769231,0.9896907216494846,0.8952871870397644,0.08095816371216209,0.047469802494002254,0.08299668928247167,0.05658126980807244,3.3677519860932583,0.07922353556567968,0.08394855561929658,0.14708149640068657,0.03947810593479298,0.024593147653897404,0.10178865945612432,0.048621092168037346,0.013103152518647916,0.06996258371009917
0,0.7922909736633301,0.21501264572143555,0.6413793103448275,0.7677406751169872,-0.8079043268285941,0.737221743773468,0.8037617554858936,0.6055067920585162,1.0,1.0,-0.07630318385291801,1.0,1.0,1.0,LogisticRegression;EMTAB4032,1,,,,,,,multinomial,,l2,,newton-cg,,0.001,1,"{'estimator__C': 1, 'estimator__multi_class': 'multinomial', 'estimator__penalty': 'l2', 'estimator__solver': 'newton-cg', 'estimator__tol': 0.001, 'selector__transform__select__percentile': 1}",4,4,4,4,4,4,0.5333333333333333,0.6956521739130435,-0.952695631110133,0.6666666666666666,0.7272727272727273,0.49999999999999994,1.0,1.0,-0.09141328650464528,1.0,1.0,1.0,0.6,0.7272727272727273,-1.3408157513119978,0.7272727272727273,0.7272727272727273,0.29545454545454547,1.0,1.0,-0.06869677043818827,1.0,1.0,1.0,0.7333333333333333,0.8181818181818182,-0.6958582306830788,0.8181818181818182,0.8181818181818182,0.7727272727272727,1.0,1.0,-0.0733073901888469,1.0,1.0,1.0,0.6666666666666666,0.7826086956521738,-1.0511524785739046,0.75,0.8181818181818182,0.36363636363636365,1.0,1.0,-0.07279155423785214,1.0,1.0,1.0,0.6,0.7500000000000001,-1.0417214263624965,0.6923076923076923,0.8181818181818182,0.36363636363636365,1.0,1.0,-0.07550875021379796,1.0,1.0,1.0,0.6,0.7500000000000001,-0.8036436523734037,0.6923076923076923,0.8181818181818182,0.6363636363636364,1.0,1.0,-0.0835153381691505,1.0,1.0,1.0,0.6666666666666666,0.8,-0.5501581334858425,0.7142857142857143,0.9090909090909091,0.8636363636363635,1.0,1.0,-0.06957597679855529,1.0,1.0,1.0,0.6428571428571429,0.761904761904762,-0.5856881504161756,0.7272727272727273,0.8,0.75,1.0,1.0,-0.07625575628264843,1.0,1.0,1.0,0.6923076923076923,0.8000000000000002,-0.5060822788581923,0.8,0.8,0.7333333333333334,1.0,1.0,-0.08051328714289212,1.0,1.0,1.0,0.6923076923076923,0.8000000000000002,-0.44821108466541043,0.8,0.8,0.8333333333333334,1.0,1.0,-0.0714537285526032,1.0,1.0,1.0,0.13014706193535616,0.041746885846835974,0.05666864071378384,0.03682040186353544,0.27573822342711435,0.049073202102628076,0.04947816841868051,0.20302303623929172,0.0,0.0,0.006683001531119235,0.0,0.0,0.0
1,1.1093443632125854,0.2611778497695923,0.7172413793103448,0.8212672784486876,-0.7189088982802077,0.7708195253022839,0.8882131661442005,0.6539184952978057,1.0,1.0,-0.04079771514500909,1.0,1.0,1.0,LogisticRegression;EMTAB4032,1,,,,,,,multinomial,,l2,,newton-cg,,0.001,5,"{'estimator__C': 1, 'estimator__multi_class': 'multinomial', 'estimator__penalty': 'l2', 'estimator__solver': 'newton-cg', 'estimator__tol': 0.001, 'selector__transform__select__percentile': 5}",2,3,2,2,2,1,0.6666666666666666,0.8,-0.9788504004589356,0.7142857142857143,0.9090909090909091,0.5227272727272727,1.0,1.0,-0.04368791242771143,1.0,1.0,1.0,0.6666666666666666,0.7826086956521738,-1.106114927316433,0.75,0.8181818181818182,0.3181818181818182,1.0,1.0,-0.03749155233739805,1.0,1.0,1.0,0.6666666666666666,0.761904761904762,-0.5373832818177308,0.8,0.7272727272727273,0.7954545454545454,1.0,1.0,-0.03962695737585804,1.0,1.0,1.0,0.7333333333333333,0.846153846153846,-0.8248833948439512,0.7333333333333333,1.0,0.5,1.0,1.0,-0.041341111086381596,1.0,1.0,1.0,0.6666666666666666,0.7826086956521738,-0.9284457099163338,0.75,0.8181818181818182,0.5454545454545454,1.0,1.0,-0.03952694792225177,1.0,1.0,1.0,0.7333333333333333,0.846153846153846,-0.7612377901384727,0.7333333333333333,1.0,0.7272727272727273,1.0,1.0,-0.04177341749623583,1.0,1.0,1.0,0.7333333333333333,0.846153846153846,-0.5401138877472372,0.7333333333333333,1.0,0.7954545454545454,1.0,1.0,-0.042718482094746255,1.0,1.0,1.0,0.7857142857142857,0.8571428571428572,-0.40338034892720903,0.8181818181818182,0.9,0.875,1.0,1.0,-0.03943335788857276,1.0,1.0,1.0,0.6923076923076923,0.8000000000000002,-0.5432969467924449,0.8,0.8,0.7333333333333334,1.0,1.0,-0.04312381756613465,1.0,1.0,1.0,0.8461538461538461,0.9,-0.49047416721238235,0.9,0.9,0.7666666666666667,1.0,1.0,-0.03925359525480062,1.0,1.0,1.0,0.186779150375116,0.07581598787837489,0.05600996830672727,0.04041437275417881,0.22838686256233165,0.052283357000267115,0.09132896229336777,0.16803106729008788,0.0,0.0,0.0019199641993125438,0.0,0.0,0.0
2,1.4851131200790406,0.3071223974227905,0.7379310344827587,0.8330122351411706,-0.7068870882154697,0.7884639498432602,0.8882131661442005,0.6435527690700105,1.0,1.0,-0.03191948022305641,1.0,1.0,1.0,LogisticRegression;EMTAB4032,1,,,,,,,multinomial,,l2,,newton-cg,,0.001,10,"{'estimator__C': 1, 'estimator__multi_class': 'multinomial', 'estimator__penalty': 'l2', 'estimator__solver': 'newton-cg', 'estimator__tol': 0.001, 'selector__transform__select__percentile': 10}",1,1,1,1,2,2,0.6666666666666666,0.8,-0.9535087094074277,0.7142857142857143,0.9090909090909091,0.5909090909090909,1.0,1.0,-0.03280461697801099,1.0,1.0,1.0,0.6666666666666666,0.7826086956521738,-1.1439289737890783,0.75,0.8181818181818182,0.34090909090909094,1.0,1.0,-0.029705236991513503,1.0,1.0,1.0,0.7333333333333333,0.8181818181818182,-0.5714530200822778,0.8181818181818182,0.8181818181818182,0.7727272727272727,1.0,1.0,-0.0318293221293754,1.0,1.0,1.0,0.8,0.8695652173913043,-0.768891542325554,0.8333333333333334,0.9090909090909091,0.5,1.0,1.0,-0.03191759966816158,1.0,1.0,1.0,0.6666666666666666,0.7826086956521738,-0.8708246378303993,0.75,0.8181818181818182,0.5,1.0,1.0,-0.0312396129091913,1.0,1.0,1.0,0.7333333333333333,0.846153846153846,-0.7516321614190383,0.7333333333333333,1.0,0.7272727272727273,1.0,1.0,-0.032302458697485756,1.0,1.0,1.0,0.8,0.88,-0.4483622195546713,0.7857142857142857,1.0,0.8636363636363636,1.0,1.0,-0.033366018147381285,1.0,1.0,1.0,0.7857142857142857,0.8571428571428572,-0.4347135498764264,0.8181818181818182,0.9,0.825,1.0,1.0,-0.031591790267986974,1.0,1.0,1.0,0.6923076923076923,0.8000000000000002,-0.5631470266515575,0.8,0.8,0.6333333333333333,1.0,1.0,-0.03323654657960889,1.0,1.0,1.0,0.8461538461538461,0.9,-0.49713136772124417,0.9,0.9,0.7000000000000001,1.0,1.0,-0.031201599861848377,1.0,1.0,1.0,0.18296233299621792,0.033879714757003736,0.06192494483713064,0.04002301322324537,0.22626767187986274,0.05198731613202154,0.07015127681756642,0.15799107607115,0.0,0.0,0.001036977961762955,0.0,0.0,0.0
3,2.135093021392822,0.25193707942962645,0.7172413793103448,0.8217651314203038,-0.7391050134972337,0.761868476351235,0.8974294670846394,0.6204806687565309,1.0,1.0,-0.025263445496260733,1.0,1.0,1.0,LogisticRegression;EMTAB4032,1,,,,,,,multinomial,,l2,,newton-cg,,0.001,20,"{'estimator__C': 1, 'estimator__multi_class': 'multinomial', 'estimator__penalty': 'l2', 'estimator__solver': 'newton-cg', 'estimator__tol': 0.001, 'selector__transform__select__percentile': 20}",2,2,3,3,1,3,0.6666666666666666,0.8,-0.914672060951924,0.7142857142857143,0.9090909090909091,0.5909090909090909,1.0,1.0,-0.025082287558843123,1.0,1.0,1.0,0.7333333333333333,0.8333333333333333,-1.1798651768418484,0.7692307692307693,0.9090909090909091,0.34090909090909094,1.0,1.0,-0.02404303960439467,1.0,1.0,1.0,0.6,0.7272727272727273,-0.5302174615156806,0.7272727272727273,0.7272727272727273,0.75,1.0,1.0,-0.025123215122398727,1.0,1.0,1.0,0.6666666666666666,0.8,-0.7924916410726456,0.7142857142857143,0.9090909090909091,0.5,1.0,1.0,-0.025009645618595644,1.0,1.0,1.0,0.6,0.7272727272727273,-0.9957813481369086,0.7272727272727273,0.7272727272727273,0.45454545454545453,1.0,1.0,-0.024908951771667392,1.0,1.0,1.0,0.7333333333333333,0.846153846153846,-0.8886472139283869,0.7333333333333333,1.0,0.6590909090909092,1.0,1.0,-0.0252237056472609,1.0,1.0,1.0,0.8,0.88,-0.4756621967070728,0.7857142857142857,1.0,0.8636363636363636,1.0,1.0,-0.02658743739740015,1.0,1.0,1.0,0.8571428571428571,0.9090909090909091,-0.434721224443028,0.8333333333333334,1.0,0.825,1.0,1.0,-0.025449008308381267,1.0,1.0,1.0,0.6923076923076923,0.8000000000000002,-0.6364039339162624,0.8,0.8,0.5,1.0,1.0,-0.02647214983136852,1.0,1.0,1.0,0.8461538461538461,0.9090909090909091,-0.47314016820523574,0.8333333333333334,1.0,0.7333333333333334,1.0,1.0,-0.02473501410229697,1.0,1.0,1.0,0.40547619829124687,0.06410429823109767,0.08700927586565933,0.06191929075240972,0.2462431249248605,0.044114508123867927,0.1049729759265003,0.164358612892285,0.0,0.0,0.0007253362496512482,0.0,0.0,0.0
0,0.5116865634918213,0.1708523750305176,0.6620689655172414,0.7752879633057964,-0.9032369937928587,0.7655922621439862,0.79435736677116,0.6053187042842215,1.0,1.0,-0.09114116314326409,1.0,1.0,1.0,SVC;EMTAB4032,0.5,,,0.0001,linear,,,,,,True,,,,1,"{'estimator__C': 0.5, 'estimator__gamma': 0.0001, 'estimator__kernel': 'linear', 'estimator__probability': True, 'selector__transform__select__percentile': 1}",4,4,4,3,4,4,0.6,0.7500000000000001,-0.7252735229254296,0.6923076923076923,0.8181818181818182,0.5227272727272727,1.0,1.0,-0.16273812270350985,1.0,1.0,1.0,0.5333333333333333,0.6666666666666666,-2.4184684970729022,0.7,0.6363636363636364,0.2727272727272727,1.0,1.0,-0.03441896170156443,1.0,1.0,1.0,0.7333333333333333,0.7999999999999999,-0.7089826526628776,0.8888888888888888,0.7272727272727273,0.8181818181818181,1.0,1.0,-0.06515604390450447,1.0,1.0,1.0,0.6666666666666666,0.7826086956521738,-1.089820726960712,0.75,0.8181818181818182,0.38636363636363635,1.0,1.0,-0.05827332234950031,1.0,1.0,1.0,0.5333333333333333,0.6956521739130435,-1.0185325095479407,0.6666666666666666,0.7272727272727273,0.40909090909090906,1.0,1.0,-0.0804424753413415,1.0,1.0,1.0,0.6666666666666666,0.7826086956521738,-0.6685506261343913,0.75,0.8181818181818182,0.6818181818181819,1.0,1.0,-0.16941249929410093,1.0,1.0,1.0,0.7333333333333333,0.846153846153846,-0.5747475239207701,0.7333333333333333,1.0,0.7727272727272727,1.0,1.0,-0.06794752391444192,1.0,1.0,1.0,0.6428571428571429,0.761904761904762,-0.814788891575782,0.7272727272727273,0.8,0.675,1.0,1.0,-0.054323753380890336,1.0,1.0,1.0,0.7692307692307693,0.8421052631578948,-0.44624067089297675,0.8888888888888888,0.8,0.7333333333333334,1.0,1.0,-0.14558803738379827,1.0,1.0,1.0,0.7692307692307693,0.8421052631578948,-0.4381192313784246,0.8888888888888888,0.8,0.8333333333333334,1.0,1.0,-0.07311089145898873,1.0,1.0,1.0,0.1472478166082756,0.031365138282892564,0.0835302538904111,0.057916851149563554,0.5526312764381617,0.08130969458685808,0.08985006329150737,0.18942744675310588,0.0,0.0,0.04639282001812555,0.0,0.0,0.0
1,0.6360853672027588,0.1939011573791504,0.696551724137931,0.8055113102789266,-0.7042989139157281,0.7635467980295567,0.8601880877742948,0.6438140020898643,1.0,1.0,-0.03941464968138139,1.0,1.0,1.0,SVC;EMTAB4032,0.5,,,0.0001,linear,,,,,,True,,,,5,"{'estimator__C': 0.5, 'estimator__gamma': 0.0001, 'estimator__kernel': 'linear', 'estimator__probability': True, 'selector__transform__select__percentile': 5}",3,3,2,4,3,2,0.6666666666666666,0.8,-0.8944173261051056,0.7142857142857143,0.9090909090909091,0.5227272727272727,1.0,1.0,-0.045145828025450786,1.0,1.0,1.0,0.6666666666666666,0.7826086956521738,-1.1196037473421667,0.75,0.8181818181818182,0.3181818181818182,1.0,1.0,-0.027620832104679617,1.0,1.0,1.0,0.6666666666666666,0.761904761904762,-0.5482365371554113,0.8,0.7272727272727273,0.7954545454545454,1.0,1.0,-0.02709342093722158,1.0,1.0,1.0,0.7333333333333333,0.846153846153846,-0.7391874453023558,0.7333333333333333,1.0,0.5227272727272727,1.0,1.0,-0.05492391710220749,1.0,1.0,1.0,0.6666666666666666,0.7826086956521738,-0.9768166004122991,0.75,0.8181818181818182,0.5227272727272727,1.0,1.0,-0.025321113070257098,1.0,1.0,1.0,0.6666666666666666,0.8,-0.7269585359541091,0.7142857142857143,0.9090909090909091,0.7045454545454546,1.0,1.0,-0.03828781472090377,1.0,1.0,1.0,0.8,0.88,-0.5221494172658752,0.7857142857142857,1.0,0.7727272727272727,1.0,1.0,-0.05268608409711836,1.0,1.0,1.0,0.7142857142857143,0.8000000000000002,-0.4355911335237546,0.8,0.8,0.8500000000000001,1.0,1.0,-0.02097516521907086,1.0,1.0,1.0,0.6923076923076923,0.8000000000000002,-0.5084171095591794,0.8,0.8,0.7000000000000001,1.0,1.0,-0.0649855425759489,1.0,1.0,1.0,0.6923076923076923,0.8000000000000002,-0.500392313932218,0.8,0.8,0.7666666666666667,1.0,1.0,-0.03710677896095542,1.0,1.0,1.0,0.10540544527470755,0.03659466213764681,0.04174400361353341,0.032630722330112494,0.22256307025970776,0.03448686346668013,0.08792642436743928,0.16043656435780212,0.0,0.0,0.01392670281348947,0.0,0.0,0.0
